trial_id,Accuracy,FR_neuron32[PHR5],FR_neuron33[PHR5],FR_neuron34[PHR5],acc_bin
8,Correct,"[10.0, 15.0, 25.0, 15.0, 15.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
24,Correct,"[30.0, 25.0, 15.0, 20.0, 15.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 5.0, 0.0]",1
44,Correct,"[15.0, 10.0, 30.0, 20.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
60,Incorrect,"[35.0, 30.0, 20.0, 30.0, 5.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",0
84,Incorrect,"[45.0, 15.0, 15.0, 60.0, 10.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",0
92,Correct,"[15.0, 25.0, 20.0, 15.0, 15.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
104,Correct,"[10.0, 15.0, 5.0, 15.0, 5.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
116,Incorrect,"[10.0, 25.0, 20.0, 25.0, 25.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
136,Correct,"[15.0, 10.0, 5.0, 15.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
152,Correct,"[20.0, 10.0, 15.0, 30.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
176,Correct,"[15.0, 20.0, 15.0, 20.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",1
184,Correct,"[15.0, 30.0, 20.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
196,Incorrect,"[15.0, 10.0, 20.0, 10.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",0
212,Incorrect,"[30.0, 15.0, 25.0, 25.0, 10.0]","[0.0, 0.0, 5.0, 0.0, 5.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",0
232,Correct,"[40.0, 15.0, 45.0, 30.0, 0.0]","[5.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]",1
248,Correct,"[5.0, 25.0, 10.0, 25.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[5.0, 0.0, 0.0, 5.0, 0.0]",1
272,Correct,"[20.0, 15.0, 30.0, 35.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
280,Correct,"[5.0, 10.0, 10.0, 15.0, 15.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
292,Incorrect,"[20.0, 25.0, 20.0, 15.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
308,Incorrect,"[20.0, 25.0, 20.0, 15.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",0
328,Incorrect,"[30.0, 10.0, 20.0, 25.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",0
344,Correct,"[20.0, 20.0, 20.0, 20.0, 5.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",1
368,Incorrect,"[15.0, 10.0, 10.0, 30.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]",0
376,Correct,"[15.0, 25.0, 10.0, 15.0, 5.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
388,Incorrect,"[15.0, 20.0, 25.0, 25.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
404,Correct,"[10.0, 10.0, 10.0, 10.0, 5.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",1
424,Correct,"[20.0, 25.0, 25.0, 20.0, 20.0]","[0.0, 0.0, 15.0, 5.0, 0.0]","[15.0, 0.0, 0.0, 0.0, 0.0]",1
436,Correct,"[25.0, 30.0, 15.0, 10.0, 10.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
460,Incorrect,"[15.0, 15.0, 20.0, 25.0, 5.0]","[0.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 0.0, 0.0]",0
468,Correct,"[30.0, 25.0, 15.0, 35.0, 25.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
480,Correct,"[40.0, 0.0, 50.0, 45.0, 5.0]","[0.0, 0.0, 10.0, 5.0, 0.0]","[0.0, 0.0, 5.0, 5.0, 0.0]",1
496,Incorrect,"[15.0, 25.0, 15.0, 25.0, 10.0]","[10.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",0
516,Correct,"[25.0, 50.0, 5.0, 40.0, 10.0]","[5.0, 10.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
532,Correct,"[15.0, 20.0, 20.0, 30.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
556,Incorrect,"[30.0, 5.0, 10.0, 30.0, 10.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
