trial_id,Accuracy,FR_neuron32[PHR5],FR_neuron33[PHR5],FR_neuron34[PHR5],acc_bin
11,Correct,[8.795265009654601],[0.9508394605032001],[0.23770986512580003],1
27,Correct,[10.6407661166547],[0.0],[0.4626420050719435],1
47,Correct,[10.930006967879454],[0.6072226093266363],[0.30361130466331815],1
63,Incorrect,[9.45293501816142],[0.787744584846785],[0.5251630565645233],0
87,Incorrect,[12.385666702313179],[1.8125365905824165],[0.0],0
95,Correct,[5.216685464123266],[0.5216685464123266],[0.17388951547077555],1
107,Correct,[9.746176289787543],[0.7131348504722593],[0.23771161682408642],1
119,Incorrect,[9.021452319658236],[0.46263858049529416],[0.0],0
139,Correct,[9.715561749226223],[1.214445218653278],[1.214445218653278],1
155,Correct,[9.190276267581941],[0.2625793219309126],[0.0],1
179,Correct,[9.062595346055161],[1.208346046140688],[0.0],1
187,Correct,[5.081979008217075],[0.26747257937984603],[0.0],1
199,Incorrect,[7.6067138758347275],[0.23770980861983523],[0.23770980861983523],0
215,Incorrect,[10.4495561609074],[0.23221235913127558],[0.23221235913127558],0
235,Correct,[12.751674795859419],[0.9108339139899584],[0.607222609326639],1
251,Correct,[7.614864320185645],[0.2625815282822636],[0.5251630565645272],1
275,Correct,[11.177305598712442],[0.6041786810114833],[0.0],1
283,Correct,[4.168518074889784],[0.6513309492015287],[0.0],1
295,Incorrect,[8.795262918933785],[0.23770980861983204],[0.0],0
311,Incorrect,[7.6335383439572215],[0.23131934375627944],[0.0],0
331,Incorrect,[10.930006967879502],[0.9108339139899584],[0.0],0
347,Correct,[10.240679603008434],[0.5251630565645351],[0.26258152828226755],1
371,Incorrect,[8.760506188089392],[0.30208642027894456],[0.6041728405578891],0
379,Correct,[1.4379989238375617],[0.0898749327398476],[0.0449374663699238],1
391,Incorrect,[6.893584449975129],[0.23770980861983204],[0.4754196172396641],0
407,Correct,[8.096177031469567],[0.4626386875125467],[0.23131934375627336],1
427,Correct,[10.57312691770114],[0.6041786810114937],[0.3020893405057469],1
439,Correct,[11.553493198668729],[0.0],[0.0],1
463,Incorrect,[11.479283970599894],[0.30208642027894456],[0.6041728405578891],0
471,Correct,[0.130152811846971],[0.0],[0.0],1
483,Correct,[6.655874641355117],[0.4754196172396512],[0.4754196172396512],1
499,Incorrect,[8.327556091294586],[0.4626420050719214],[0.2313210025359607],0
519,Correct,[10.32268406787828],[0.30360835493759647],[0.30360835493759647],1
535,Correct,[8.402608905032059],[0.26258152828225184],[0.5251630565645037],1
559,Incorrect,[9.364681857590172],[0.9062595346055006],[0.30208651153516686],0
567,Correct,[6.585496760484182],[0.2195165586828061],[0.0],1
579,Incorrect,[9.032972727553373],[0.7131294258594768],[0.0],0
595,Incorrect,[5.783025063399018],[0.6939630076078821],[0.2313210025359607],0
615,Correct,[7.893817228377508],[0.30360835493759647],[0.30360835493759647],1
631,Correct,[10.765842659572327],[0.7877445848467556],[0.26258152828225184],1
655,Correct,[12.08357362022946],[0.3020893405057365],[0.0],1
663,Correct,[4.507007601465921],[0.13255904710193886],[0.2651180942038777],1
675,Incorrect,[10.221599523435232],[0.23771161682407518],[0.0],0
691,Incorrect,[7.633536578172152],[0.462638580495282],[0.0],0
707,Correct,[15.787787842492067],[0.607222609326618],[0.303611304663309],1
723,Correct,[9.715516546443318],[0.5251630565645037],[0.26258152828225184],1
747,Incorrect,[11.781373949871508],[0.0],[0.6041730230703337],0
755,Correct,[16.0],[2.0],[0.5],1
